day,latitude,near_equator,northern,southern,first_3m,last_3m,middle_6m,snowfall,good_skiing,day_num
2023-09-10,60,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,253
2023-11-12,50,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,9.98628151067326,TRUE,316
2023-02-19,-80,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,50
2023-11-19,-65,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,FALSE,323
2023-07-23,35,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,204
2023-12-03,-5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,337
2023-10-08,25,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,281
2023-06-11,75,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,162
2023-04-30,-40,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,11.978029400174636,TRUE,120
2023-08-20,-30,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,232
2023-08-13,60,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,225
2023-03-19,10,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,78
2023-08-27,-35,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,239
2023-04-16,-70,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,13.84975189875626,TRUE,106
2023-09-10,30,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,253
2023-05-21,-85,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,13.498866374083272,TRUE,141
2023-04-23,30,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,113
2023-11-12,20,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,316
2023-06-25,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,176
2023-10-29,-70,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,FALSE,302
2023-09-24,40,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,267
2023-10-29,-30,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,302
2023-05-21,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,141
2023-12-24,10,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,358
2023-05-28,-55,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,16.120937965643904,TRUE,148
2023-02-19,-85,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,50
2023-06-25,-35,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,176
2023-04-02,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,92
2023-01-08,-15,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,8
2023-08-06,90,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,218
2023-09-17,-80,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,11.431678151505782,TRUE,260
2023-05-21,55,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,141
2023-12-10,90,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,8.429599660268252,TRUE,344
2023-01-29,-15,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,29
2023-06-04,60,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,155
2023-06-18,-65,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,5.573691695706697,TRUE,169
2023-08-27,20,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,239
2023-03-12,-40,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,71
2023-01-22,-35,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,22
2023-10-01,65,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,10.078985444621264,TRUE,274
2023-09-24,-25,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,267
2023-06-04,-30,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,155
2023-12-24,-40,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,FALSE,358
2023-09-24,-30,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,267
2023-07-16,45,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,197
2023-07-30,10,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,211
2023-06-11,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,162
2023-03-19,60,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,14.010906497184454,TRUE,78
2023-10-15,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,288
2023-10-08,15,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,281
2023-09-17,-70,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,11.760675629059577,TRUE,260
2023-11-19,-45,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,FALSE,323
2023-08-27,-10,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,239
2023-08-13,50,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,225
2023-05-07,55,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,127
2023-12-17,-60,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,FALSE,351
2023-06-11,-85,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,11.153326326670122,TRUE,162
2023-09-03,80,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,246
2023-06-04,15,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,155
2023-01-29,75,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,9.743652609978,TRUE,29
2023-07-23,70,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,204
2023-04-23,65,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,113
2023-11-12,75,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6.693033451360714,TRUE,316
2023-06-25,-80,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,10.365085153621468,TRUE,176
2023-09-03,60,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,246
2023-12-24,70,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,11.086244450565877,TRUE,358
2023-09-03,50,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,246
2023-03-26,-55,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,85
2023-02-05,-55,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,36
2023-12-17,-75,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,FALSE,351
2023-02-26,-75,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,57
2023-05-07,-15,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,127
2023-06-25,90,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,176
2023-11-12,40,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,9.5265121370964,TRUE,316
2023-04-23,10,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,113
2023-08-20,-80,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,5.786291338018744,TRUE,232
2023-02-05,-20,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,36
2023-08-13,-20,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,225
2023-08-13,-60,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,7.777224849460325,TRUE,225
2023-11-12,10,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,316
2023-04-30,-30,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,120
2023-02-26,-45,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,57
2023-06-25,-50,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,9.668152115563604,TRUE,176
2023-11-26,-10,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,330
2023-03-05,-40,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,64
2023-03-12,-60,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,71
2023-11-26,70,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,12.89774887011795,TRUE,330
2023-11-26,-50,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,FALSE,330
2023-02-12,65,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.457006926228175,TRUE,43
2023-12-03,40,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,11.14139712378865,TRUE,337
2023-02-05,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,36
2023-01-01,-70,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,1
2023-08-13,-30,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,225
2023-11-19,-85,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,FALSE,323
2023-08-13,-85,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,9.937349424521917,TRUE,225
2023-09-17,30,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,260
2023-01-29,40,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,7.826966358800046,TRUE,29
2023-02-26,25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,57
2023-02-26,50,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.015693860690073,TRUE,57
2023-01-22,-10,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,22
