artist,genre,artist_id
Chet Baker,Jazz,3rxeQlsv0Sc2nyYaZ5W71T
Ella Fitzgerald,Jazz,5V0MlUE1Bft0mbLlND7FJz
Stan Getz,Jazz,0FMucZsEnCxs5pqBjHjIc8
Billie Holiday,Jazz,1YzCsTRb22dQkh9lghPIrp
Miles Davis,Jazz,0kbYTNQb4Pb1rPbbaF0pT4
John Coltrane,Jazz,2hGh5VOeeqimQFxqXvfCUf
Bill Evans,Jazz,4jXfFzeP66Zy67HM2mvIIF
Duke Ellington,Jazz,4F7Q5NV6h5TSwCainz8S5A
Herbie Hancock,Jazz,2ZvrvbQNrHKwjT7qfGFFUW
Bill Evans Trio,Jazz,3VEG6gxFIMfl4Cdog26avS
Charles Mingus,Jazz,1W8TbFzNS15VwsempfY12H
Wes Montgomery,Jazz,03YhcM6fxypfwckPCQV8pQ
Drake,Hip Hop,3TVXtAsR1Inumwj472S9r4
Kanye West,Hip Hop,5K4W6rqBFWDnAN6FQUkS6x
Kendrick Lamar,Hip Hop,2YZyLoL8N0Wb9xBt1NhZWg
"Tyler, The Creator",Hip Hop,4V8LLVI7PbaPR0K2TGSxFF
Metro Boomin,Hip Hop,0iEtIxbK0KxaSlF7G42ZOp
Travis Scott,Hip Hop,0Y5tJX1MQlPlqiwlOH1tJY
Mac Miller,Hip Hop,4LLpKhyESsyAXpc4laK94U
J. Cole,Hip Hop,6l3HvQ5sa6mXTsMTB19rO5
Eminem,Hip Hop,7dGJo4pcD2V6oG8kP0tJRR
Lil Uzi Vert,Hip Hop,4O15NlyKLIASxsJ0PrXPfz
21 Savage,Hip Hop,1URnnhqYAYcrqrcwql10ft
Future,Hip Hop,1RyvyyTE3xzB2ZywiAwp0i
Arctic Monkeys,Rock,7Ln80lUS6He07XvHI8qqHH
Radiohead,Rock,4Z8W4fKeB5YxbusRsdQVPb
Deftones,Rock,6Ghvu1VvMGScGpOUJBAHNH
Tame Impala,Rock,5INjqkS1o8h1imAzPqGZBb
The Smiths,Rock,3yY2gUcIsjMr8hjo51PoJ8
Nirvana,Rock,6olE6TJLqED3rqDCT0FyPh
Queen,Rock,1dfeR4HaWDbWqFHLkxsg1d
The Beatles,Rock,3WrFJ7ztbogyGnTHbHJFl2
Paramore,Rock,74XFHRwlV6OrjEM0A2NCMF
The 1975,Rock,3mIj9lX2MWuHmhNCA7LSCW
Gorillaz,Rock,3AA28KZvwAUcZuOKwyblJQ
My Chemical Romance,Rock,7FBcuc1gsnv6Y1nwFtNRCb
Calvin Harris,EDM,7CajNmpbOovFoOoasH2HaY
David Guetta,EDM,1Cs0zKBU1kc0i8ypK3B9ai
Avicii,EDM,1vCWHaC5f2uS3yhpwWbIA6
Fred again..,EDM,4oLeXFyACqeem2VImYeBFe
Tiësto,EDM,2o5jDhtHVPhrJdv3cEQ99Z
Marshmello,EDM,64KEffDW9EtZ1y2vBYgq8T
