artist,genre,artist_id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Chet Baker,Jazz,3rxeQlsv0Sc2nyYaZ5W71T,I Fall In Love Too Easily,0.532,0.0657,0,-19.136,0,0.0406,0.94,0.00488,0.0946,0.292,128.607,audio_features,0F845nujLVqCb0XMZCh5Pc,spotify:track:0F845nujLVqCb0XMZCh5Pc,https://api.spotify.com/v1/tracks/0F845nujLVqCb0XMZCh5Pc,https://api.spotify.com/v1/audio-analysis/0F845nujLVqCb0XMZCh5Pc,201440,4
Chet Baker,Jazz,3rxeQlsv0Sc2nyYaZ5W71T,My Funny Valentine,0.438,0.00756,0,-26.44,0,0.0382,0.941,0.00643,0.109,0.277,133.32,audio_features,4l9hml2UCnxoNI3yCdL1BW,spotify:track:4l9hml2UCnxoNI3yCdL1BW,https://api.spotify.com/v1/tracks/4l9hml2UCnxoNI3yCdL1BW,https://api.spotify.com/v1/audio-analysis/4l9hml2UCnxoNI3yCdL1BW,141133,4
Chet Baker,Jazz,3rxeQlsv0Sc2nyYaZ5W71T,Time After Time - Vocal Version,0.501,0.0454,0,-18.783,1,0.0388,0.938,3.76e-05,0.2,0.255,99.783,audio_features,4m6OC8u2rC6LMFtFWsME7d,spotify:track:4m6OC8u2rC6LMFtFWsME7d,https://api.spotify.com/v1/tracks/4m6OC8u2rC6LMFtFWsME7d,https://api.spotify.com/v1/audio-analysis/4m6OC8u2rC6LMFtFWsME7d,166760,4
Chet Baker,Jazz,3rxeQlsv0Sc2nyYaZ5W71T,Autumn Leaves,0.35,0.607,5,-11.141,0,0.0498,0.794,0.446,0.116,0.597,187.101,audio_features,1QlTNF43OyKK9BorIRsJ8o,spotify:track:1QlTNF43OyKK9BorIRsJ8o,https://api.spotify.com/v1/tracks/1QlTNF43OyKK9BorIRsJ8o,https://api.spotify.com/v1/audio-analysis/1QlTNF43OyKK9BorIRsJ8o,422640,4
Chet Baker,Jazz,3rxeQlsv0Sc2nyYaZ5W71T,I Get Along Without You Very Well (Except Sometimes) - Vocal Version,0.442,0.033,10,-23.063,1,0.041,0.922,0.000171,0.151,0.21,103.34,audio_features,4gFlHAye7To29Fs4UszQUH,spotify:track:4gFlHAye7To29Fs4UszQUH,https://api.spotify.com/v1/tracks/4gFlHAye7To29Fs4UszQUH,https://api.spotify.com/v1/audio-analysis/4gFlHAye7To29Fs4UszQUH,179640,3
Chet Baker,Jazz,3rxeQlsv0Sc2nyYaZ5W71T,It's Always You - Vocal Version,0.499,0.0341,8,-22.31,1,0.0417,0.923,5.27e-05,0.131,0.31,81.735,audio_features,06UkYE0SZ3Y8zGRFOuWGAe,spotify:track:06UkYE0SZ3Y8zGRFOuWGAe,https://api.spotify.com/v1/tracks/06UkYE0SZ3Y8zGRFOuWGAe,https://api.spotify.com/v1/audio-analysis/06UkYE0SZ3Y8zGRFOuWGAe,215467,4
Chet Baker,Jazz,3rxeQlsv0Sc2nyYaZ5W71T,But Not For Me - Vocal Version,0.626,0.152,5,-14.182,0,0.0405,0.934,6.05e-05,0.12,0.545,82.174,audio_features,3pfbQmD5xGH9Tcc7GqGfSL,spotify:track:3pfbQmD5xGH9Tcc7GqGfSL,https://api.spotify.com/v1/tracks/3pfbQmD5xGH9Tcc7GqGfSL,https://api.spotify.com/v1/audio-analysis/3pfbQmD5xGH9Tcc7GqGfSL,184467,4
Chet Baker,Jazz,3rxeQlsv0Sc2nyYaZ5W71T,That Old Feeling,0.643,0.175,5,-16.813,0,0.0391,0.633,4.24e-05,0.143,0.642,78.031,audio_features,2d64G7VaZdHQuAquz5HQNu,spotify:track:2d64G7VaZdHQuAquz5HQNu,https://api.spotify.com/v1/tracks/2d64G7VaZdHQuAquz5HQNu,https://api.spotify.com/v1/audio-analysis/2d64G7VaZdHQuAquz5HQNu,183893,4
Chet Baker,Jazz,3rxeQlsv0Sc2nyYaZ5W71T,Everything Happens To Me,0.432,0.169,4,-13.621,0,0.0693,0.919,8.04e-05,0.25,0.176,58.06,audio_features,00jqmEUSISjkugkuFxGiTo,spotify:track:00jqmEUSISjkugkuFxGiTo,https://api.spotify.com/v1/tracks/00jqmEUSISjkugkuFxGiTo,https://api.spotify.com/v1/audio-analysis/00jqmEUSISjkugkuFxGiTo,304907,4
Chet Baker,Jazz,3rxeQlsv0Sc2nyYaZ5W71T,Let's Get Lost,0.521,0.37,0,-9.345,1,0.03,0.84,0.000807,0.108,0.55,78.12,audio_features,0UZFhlhUMrYyzzyOHkylM3,spotify:track:0UZFhlhUMrYyzzyOHkylM3,https://api.spotify.com/v1/tracks/0UZFhlhUMrYyzzyOHkylM3,https://api.spotify.com/v1/audio-analysis/0UZFhlhUMrYyzzyOHkylM3,223707,4
Ella Fitzgerald,Jazz,5V0MlUE1Bft0mbLlND7FJz,Christmas Island,0.519,0.343,2,-9.39,0,0.0456,0.838,0.0,0.619,0.613,113.028,audio_features,4cy0jYlAbtgBmOq05AzDt3,spotify:track:4cy0jYlAbtgBmOq05AzDt3,https://api.spotify.com/v1/tracks/4cy0jYlAbtgBmOq05AzDt3,https://api.spotify.com/v1/audio-analysis/4cy0jYlAbtgBmOq05AzDt3,137880,4
Ella Fitzgerald,Jazz,5V0MlUE1Bft0mbLlND7FJz,Christmas Island,0.527,0.343,2,-9.39,0,0.0447,0.838,0.0,0.619,0.611,112.872,audio_features,4UedMLVIyZdQbdZYEIjqFj,spotify:track:4UedMLVIyZdQbdZYEIjqFj,https://api.spotify.com/v1/tracks/4UedMLVIyZdQbdZYEIjqFj,https://api.spotify.com/v1/audio-analysis/4UedMLVIyZdQbdZYEIjqFj,137880,4
Ella Fitzgerald,Jazz,5V0MlUE1Bft0mbLlND7FJz,Dream A Little Dream Of Me,0.491,0.154,0,-13.706,1,0.0839,0.916,0.0,0.163,0.36,95.261,audio_features,0KBvapFwuz8gPKu6Gw23WN,spotify:track:0KBvapFwuz8gPKu6Gw23WN,https://api.spotify.com/v1/tracks/0KBvapFwuz8gPKu6Gw23WN,https://api.spotify.com/v1/audio-analysis/0KBvapFwuz8gPKu6Gw23WN,187693,3
